ID,Date,Amount,Category,Description
1753000040,2026-07-16,332.38,Grocery,"COMMUNITY FOOD CO-OP"
1753000041,2026-07-15,156.30,Restaurant,"ASLAN"
1753000042,2026-07-15,121.97,Seneth,"INNERSENSE ORGANIC BEA"
1753000043,2026-07-14,40.86,Restaurant,"RINCONCITO"
1753000044,2026-07-13,161.71,Seneth,"Altra"
1753000045,2026-07-13,64.99,Nick,"Wellhub Nick Muccio"
1753000046,2026-07-13,111.00,Restaurant,"TRAINWRECK BAR&GRILL"
1753000047,2026-07-14,94.95,Nick,"Bike Seat"
1753000048,2026-07-13,158.34,Seneth,"Running Vest"
1753000049,2026-07-11,5.09,Grocery,"VALLEY MARKET"
1753000050,2026-07-12,132.66,Seneth,"SP FLEET FEET"
1753000051,2026-07-11,462.26,Grocery,"COMMUNITY FOOD CO-OP"
1753000052,2026-07-11,41.84,Gas,""
1753000053,2026-07-09,7.15,Grocery,"VALLEY MARKET"
1753000054,2026-07-09,53.85,Restaurant,"SQ *TINO'S PIZZA"
1753000055,2026-07-09,12.99,Subscription,"AMAZON DIGITAL"
1753000056,2026-07-08,49.00,Fitness,"HOT SPOT BELLINGHAM"
1753000057,2026-07-08,18.49,Subscription,"HBO"
1753000058,2026-07-08,49.00,Fitness,"HOT SPOT BELLINGHAM"
1753000059,2026-07-07,356.36,Nick,"Amazon - Yoga Mat, etc."
1753000060,2026-07-06,1.18,Nick,"WAFISH&WILDLIC-SVC*FEE"
1753000061,2026-07-06,40.84,Nick,"WA FISH & WILD LICENSE"
1753000062,2026-07-07,10.99,Subscription,"AMAZON DIGITAL"
1753000063,2026-07-05,311.76,Grocery,"SKAGIT VALLEY FOOD COOP"
1753000064,2026-07-05,39.75,Restaurant,"SKAGIT VALLEY FOOD COOP"
1753000065,2026-07-04,78.52,Grocery,"COMMUNITYFOOD CO-OP"
1753000066,2026-07-04,129.75,Restaurant,"CIDER CO"
1753000067,2026-07-05,466.52,Grocery,"COSTCO"
1753000068,2026-07-03,241.06,Other,"U-HAUL OF BALLARD"
1753000069,2026-07-03,39.26,Grocery,"VALLEY MARKET"
1753000070,2026-07-04,9.80,Gas,"WSDOT-GOODTOGO ONLINE"
1753000071,2026-07-05,19.99,Subscription,"Google One"
1753000072,2026-07-03,50.06,Gas,"SHELL OIL 10004475009"
1753000073,2026-07-03,17.12,Restaurant,"KULSHAN BREWING - JA"
1753000074,2026-07-03,69.76,Restaurant,"GREEKTOWN"
1753000075,2026-07-03,46.83,Restaurant,"VALHALLA SANDWICHES G"
1753000076,2026-07-02,23.36,Restaurant,"FRANKIE & JO'S BALLAR"
1753000077,2026-07-02,16.47,Other,"U-HAUL OF BALLARD"
1753000078,2026-07-03,54.18,Restaurant,"HUSHYS"
1753000079,2026-07-02,150.00,Nick,"Therapy"
1753000080,2026-07-02,32.04,Grocery,"FRED-MEYER #0122"
1753000081,2026-07-02,22.11,Seneth,"BARRYSBOOTCAMP"
1753000082,2026-07-01,97.59,Grocery,"METROPOLITAN MKT 16"
1753000083,2026-07-01,9.76,Nick,"Amazon Pharmacy"
1753000084,2026-07-01,20.00,Nick,"Amazon Pharmacy"
1753000085,2026-07-01,20.00,Nick,"ONE MEDICAL"
1753000086,2026-07-01,14.92,Seneth,"Food - Expedia"
1753000087,2026-07-01,82.99,Subscription,"Google YouTube TV"
1753000088,2026-06-30,12.99,Subscription,"APPLE.COM/BILL"
1786069169267,2026-08-07,122.95,Restaurant,"Aslan"
1786117079079,2026-08-07,49.00,Fitness,"Hot Spot Sauna - Seneth"
1786117135005,2026-08-07,49.00,Fitness,"Hot Spot Sauna - Nick"
1786146158092,2026-08-07,267.15,Grocery,"Co-op"
1786146219918,2026-08-07,118.93,Grocery,"Whole Foods"
1786146231512,2026-08-07,29.99,Seneth,"Bra"
1786231743412,2026-08-08,39.00,Grocery,"Mamas garden"
1786240146239,2026-08-09,15.00,Grocery,"Blueberries mamas garden"
1786329119075,2026-08-10,199.96,Nick - Medical,"90 day contacts"
1786350176005,2026-08-10,54.23,Gas,"Arco"
1786554913726,2026-08-11,55.28,Seneth,"Books"
1786554934116,2026-08-11,49.64,Grocery,"Ken's"
1786555003838,2026-08-12,92.86,Grocery,"Cheeky & Dry - N/A Spirits"
1786555054160,2026-08-12,53.62,Restaurant,"Ben's Bread - Bread/Cheez its/Lunch"
1786555084336,2026-08-11,224.82,Grocery,"Haggen"
1786587838075,2026-08-13,44.06,Gas,""
1786631933303,2026-08-13,62.88,Other,"Ferry - Kingston"
1786752522369,2026-08-15,257.26,Restaurant,"Yodelin"
1786937421436,2026-08-17,5.25,Nick,"Ferry water"
1787449461304,2026-08-23,68.00,Nick,"Trek nick mtb service"
1787449496758,2026-08-23,128.00,Nick,"Nick overboard co op stop was supposed to just be tonic water"
1787449581841,2026-08-23,28.33,Restaurant,"Tacos"
1787449602513,2026-08-23,150.00,Nick - Medical,"Therapy"
